Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[252.0, 536.0]","[350.0, 534.0]","[640.0, 531.0]","[425.0, 476.0]","[675.0, 473.0]","[514.0, 485.0]","[770.0, 430.0]","[642.0, 419.0]","[619.0, 358.0]","[784.0, 316.0]","[575.0, 280.0]","[416.0, 286.0]","[503.0, 262.0]","[532.0, 252.0]","[421.0, 239.0]","[604.0, 226.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[252.0, 536.0]","[350.0, 534.0]","[640.0, 531.0]","[425.0, 476.0]","[675.0, 473.0]","[514.0, 485.0]","[770.0, 430.0]","[642.0, 419.0]","[619.0, 358.0]","[784.0, 316.0]","[575.0, 280.0]","[416.0, 286.0]","[503.0, 262.0]","[532.0, 252.0]","[421.0, 239.0]","[604.0, 226.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[426.0, 483.0]","[672.0, 479.0]","[517.0, 492.0]","[772.0, 437.0]","[630.0, 419.0]",,"[785.0, 322.0]",,,,,"[422.0, 247.0]","[603.0, 233.0]","[771.0, 495.0]","[566.0, 470.0]","[681.0, 451.0]","[304.0, 434.0]","[401.0, 437.0]","[489.0, 421.0]","[559.0, 420.0]","[638.0, 439.0]","[631.0, 318.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[426.0, 483.0]","[672.0, 479.0]","[517.0, 492.0]","[772.0, 437.0]","[630.0, 419.0]",,"[785.0, 322.0]",,,,,"[422.0, 247.0]","[603.0, 233.0]","[771.0, 495.0]","[566.0, 470.0]","[681.0, 451.0]","[304.0, 434.0]","[401.0, 437.0]","[489.0, 421.0]","[559.0, 420.0]","[638.0, 439.0]","[631.0, 318.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[427.0, 489.0]","[674.0, 486.0]","[519.0, 498.0]",,,,"[788.0, 326.0]",,,,,"[419.0, 254.0]","[601.0, 241.0]","[775.0, 500.0]",,,,,,,,"[631.0, 323.0]","[694.0, 390.0]","[504.0, 381.0]","[622.0, 371.0]","[103.0, 324.0]","[419.0, 302.0]","[533.0, 267.0]","[339.0, 265.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[427.0, 489.0]","[674.0, 486.0]","[519.0, 498.0]",,,,"[788.0, 326.0]",,,,,"[419.0, 254.0]","[601.0, 241.0]","[775.0, 500.0]",,,,,,,,"[631.0, 323.0]","[694.0, 390.0]","[504.0, 381.0]","[622.0, 371.0]","[103.0, 324.0]","[419.0, 302.0]","[533.0, 267.0]","[339.0, 265.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[680.0, 482.0]","[519.0, 500.0]",,,,"[785.0, 329.0]",,,,,"[418.0, 257.0]",,"[775.0, 502.0]",,,,,,,,"[634.0, 327.0]","[688.0, 393.0]","[502.0, 384.0]","[617.0, 371.0]",,,,,"[615.0, 503.0]","[563.0, 475.0]","[623.0, 455.0]","[761.0, 445.0]","[559.0, 430.0]","[490.0, 431.0]","[640.0, 432.0]","[696.0, 314.0]","[581.0, 310.0]","[402.0, 228.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[521.0, 500.0]",,,,"[791.0, 330.0]",,,,,"[420.0, 260.0]",,"[775.0, 503.0]",,,,,,,,"[634.0, 328.0]","[687.0, 396.0]","[497.0, 385.0]","[618.0, 377.0]",,,,,,,,"[771.0, 446.0]","[561.0, 433.0]","[490.0, 433.0]","[659.0, 441.0]",,"[579.0, 310.0]",,"[148.0, 511.0]","[270.0, 509.0]","[343.0, 507.0]","[167.0, 388.0]","[344.0, 387.0]","[770.0, 385.0]","[92.0, 328.0]","[535.0, 271.0]","[111.0, 267.0]","[619.0, 245.0]","[574.0, 247.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[782.0, 332.0]",,,,,"[412.0, 260.0]",,,,,,,,,,,"[687.0, 398.0]",,"[618.0, 379.0]",,,,,,,,"[776.0, 448.0]",,"[487.0, 441.0]",,,,,"[136.0, 514.0]",,,,,,,,"[96.0, 270.0]",,,"[619.0, 506.0]","[672.0, 496.0]","[429.0, 497.0]","[561.0, 480.0]","[210.0, 390.0]","[231.0, 329.0]","[234.0, 270.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[684.0, 401.0]",,"[619.0, 382.0]",,,,,,,,,,,,,,,,,,,,,,,,,,"[616.0, 508.0]","[673.0, 496.0]","[429.0, 501.0]",,,,,"[539.0, 503.0]","[402.0, 450.0]","[341.0, 450.0]","[814.0, 449.0]","[655.0, 445.0]","[323.0, 330.0]","[489.0, 330.0]","[422.0, 317.0]","[405.0, 335.0]","[796.0, 277.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[617.0, 507.0]","[674.0, 500.0]","[426.0, 496.0]",,,,,"[520.0, 509.0]",,,,"[638.0, 440.0]",,,,,,"[559.0, 487.0]","[680.0, 476.0]","[560.0, 444.0]","[483.0, 443.0]","[490.0, 419.0]","[426.0, 266.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[616.0, 514.0]","[678.0, 501.0]","[426.0, 499.0]",,,,,"[525.0, 510.0]",,,,"[641.0, 442.0]",,,,,,,"[681.0, 477.0]","[560.0, 444.0]","[487.0, 443.0]",,"[423.0, 266.0]","[685.0, 406.0]","[716.0, 380.0]","[582.0, 284.0]","[611.0, 258.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[678.0, 508.0]","[422.0, 486.0]",,,,,"[523.0, 514.0]",,,,"[636.0, 448.0]",,,,,,,"[681.0, 474.0]","[561.0, 450.0]","[485.0, 449.0]",,,,,"[585.0, 290.0]",,"[387.0, 530.0]","[421.0, 514.0]","[619.0, 393.0]","[492.0, 344.0]","[367.0, 291.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[677.0, 509.0]","[432.0, 487.0]",,,,,"[524.0, 516.0]",,,,"[637.0, 447.0]",,,,,,,"[682.0, 476.0]","[561.0, 449.0]","[487.0, 449.0]",,,,,"[585.0, 291.0]",,,"[421.0, 514.0]","[619.0, 393.0]","[493.0, 344.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[685.0, 521.0]",,,,,,"[527.0, 519.0]",,,,"[634.0, 453.0]",,,,,,,,"[562.0, 455.0]","[491.0, 455.0]",,,,,"[589.0, 297.0]",,,,"[619.0, 395.0]",,,"[218.0, 536.0]","[364.0, 534.0]","[738.0, 525.0]","[823.0, 472.0]","[249.0, 413.0]","[168.0, 413.0]","[91.0, 354.0]","[225.0, 351.0]","[702.0, 341.0]","[362.0, 295.0]","[91.0, 293.0]","[94.0, 232.0]",,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[684.0, 521.0]",,,,,,"[525.0, 520.0]",,,,"[631.0, 455.0]",,,,,,,,"[564.0, 457.0]","[489.0, 457.0]",,,,,"[591.0, 298.0]",,,,"[618.0, 395.0]",,,"[219.0, 536.0]","[364.0, 534.0]","[745.0, 522.0]",,,,,"[238.0, 351.0]","[702.0, 341.0]",,,"[88.0, 231.0]","[518.0, 351.0]","[337.0, 298.0]","[406.0, 271.0]","[231.0, 255.0]",,,,,,,,,,,,,,,,,,
